name	price	genre1	genre2	genre3	genre4	metacritic	release	likes	achievements	linux	mac	windows	owners	players_forever	players_2weeks	average_forever	average_2weeks	median_forever	median_2weeks
Age of Empires II HD	19.99	Strategy				68.0	2013-04-09T00:00:00Z	14620.0	259.0	False	False	True	2154170.0	1934800.0	150769.0	1801.0	401.0	453.0	169.0
Alien Swarm	0.0	Action				77.0	2010-07-19T00:00:00Z	10199.0	66.0	False	False	True	4256211.0	4256211.0	27131.0	337.0	145.0	100.0	41.0
Arma 2	9.99	Action	Simulation	Strategy		77.0	2009-06-29T00:00:00Z	1687.0	0.0	False	False	True	2562098.0	2104366.0	52517.0	276.0	58.0	26.0	8.0
Arma 2: Operation Arrowhead	14.99	Action	Simulation	Strategy		73.0	2010-06-29T00:00:00Z	10399.0	0.0	False	False	True	3565931.0	3175444.0	193209.0	2526.0	658.0	181.0	154.0
Arma 3	44.99	Action	Simulation	Strategy		74.0	2013-09-12T00:00:00Z	37669.0	57.0	False	False	True	1858640.0	1734808.0	367038.0	7018.0	911.0	1788.0	267.0
Bastion	14.99	Action	Indie	RPG		86.0	2011-08-16T00:00:00Z	14859.0	24.0	True	True	True	1941389.0	1541987.0	18216.0	358.0	83.0	183.0	35.0
BioShock	19.99	Action	RPG			96.0	2007-08-21T00:00:00Z	10217.0	0.0	False	False	True	2648335.0	1772598.0	37014.0	420.0	110.0	171.0	40.0
BioShock Infinite	29.99	Action				94.0	2013-03-25T00:00:00Z	40362.0	80.0	True	True	True	3326212.0	2596011.0	72477.0	892.0	207.0	668.0	51.0
Borderlands	19.99	Action	RPG			81.0	2009-10-26T00:00:00Z	10266.0	80.0	False	False	True	2271801.0	2017742.0	37208.0	1972.0	345.0	900.0	99.0
Borderlands 2	29.99	Action	RPG			89.0	2012-09-20T00:00:00Z	60837.0	69.0	True	True	True	4950948.0	4500192.0	271112.0	3711.0	378.0	1571.0	105.0
Call of Duty: Black Ops	39.99	Action				81.0	2010-11-08T00:00:00Z	7117.0	68.0	False	False	True	3224085.0	2733796.0	65889.0	4967.0	298.0	1411.0	41.0
Call of Duty: Black Ops II	59.99	Action				74.0	2012-11-12T00:00:00Z	15285.0	35.0	False	False	True	2375091.0	1987898.0	61819.0	546.0	87.0	226.0	22.0
Call of Duty: Modern Warfare 2	24.99	Action				86.0	2009-11-11T00:00:00Z	14447.0	50.0	False	True	True	4565500.0	4024438.0	149412.0	9549.0	211.0	3197.0	46.0
Call of Duty: Modern Warfare 3	39.99	Action					2011-11-07T00:00:00Z	13228.0	76.0	False	True	True	2961693.0	2717712.0	76741.0	1562.0	241.0	577.0	45.0
Castle Crashers	11.99	Action	Adventure	Casual	Indie		2012-09-26T00:00:00Z	20456.0	12.0	False	True	True	2177619.0	1877438.0	58912.0	503.0	150.0	218.0	35.0
Chivalry: Medieval Warfare	22.99	Action	Indie			79.0	2012-10-16T00:00:00Z	27262.0	49.0	True	True	True	8642067.0	2490008.0	271887.0	1086.0	218.0	308.0	78.0
Counter-Strike	9.99	Action				88.0	2000-11-01T00:00:00Z	44131.0	0.0	True	True	True	1.1282456E7	8053527.0	463158.0	11110.0	522.0	535.0	72.0
Counter-Strike: Condition Zero	9.99	Action				65.0	2004-03-01T00:00:00Z	4206.0	0.0	True	True	True	8765705.0	3635501.0	63757.0	2147.0	211.0	103.0	32.0
Counter-Strike: Global Offensive	13.99	Action				83.0	2012-08-21T00:00:00Z	561137.0	167.0	True	True	True	1.3347289E7	1.286514E7	6086170.0	10774.0	1219.0	3019.0	742.0
Counter-Strike: Source	19.99	Action				88.0	2004-11-01T00:00:00Z	39043.0	147.0	True	True	True	1.3663555E7	1.0371062E7	514900.0	8192.0	299.0	775.0	49.0
Counter-Strike Nexon: Zombies	0.0	Action	Casual	Free to Play			2014-10-07T00:00:00Z	13315.0	65.0	False	False	True	3393651.0	1937125.0	121894.0	519.0	380.0	34.0	54.0
DARK SOULS: Prepare To Die Edition	19.99	Action	RPG			85.0	2012-08-23T00:00:00Z	30660.0	41.0	False	False	True	1908251.0	1670083.0	104065.0	2414.0	429.0	438.0	86.0
Day of Defeat	4.99	Action				79.0	2003-05-01T00:00:00Z	1415.0	0.0	True	True	True	7139031.0	1608651.0	13759.0	890.0	198.0	26.0	21.0
Day of Defeat: Source	9.99	Action				80.0	2010-07-12T00:00:00Z	4540.0	54.0	True	True	True	5815445.0	2650660.0	46316.0	1847.0	277.0	98.0	68.0
DayZ	27.99	Action	Indie	Massively Multiplayer	Early Access		2013-12-16T00:00:00Z	121574.0	0.0	False	False	True	3189784.0	3159359.0	338551.0	3476.0	310.0	1123.0	59.0
DC Universe Online	0.0	Action	Adventure	Free to Play	Massively Multiplayer	72.0	2011-11-02T00:00:00Z	6651.0	122.0	False	False	True	2022199.0	2022199.0	38564.0	1434.0	480.0	353.0	165.0
Dead Island	19.99	Action	RPG			80.0		16246.0	48.0	True	True	True	2798328.0	2405128.0	61044.0	1113.0	206.0	472.0	61.0
Dead Island: Epidemic	0.0	Action	Free to Play	Early Access			2014-11-20T00:00:00Z	18285.0	54.0	False	False	True	4634101.0	2083243.0	53680.0	240.0	129.0	42.0	33.0
Dishonored	14.99	Action	Adventure			91.0	2012-10-11T00:00:00Z	16337.0	80.0	False	False	True	1972783.0	1686942.0	43603.0	1023.0	237.0	615.0	85.0
Don't Starve	14.99	Adventure	Indie	Simulation		79.0		31595.0	0.0	True	True	True	2611902.0	2255716.0	135847.0	1139.0	207.0	359.0	41.0
Dota 2	0.0	Action	Free to Play	Strategy		90.0	2013-07-09T00:00:00Z	380807.0	0.0	True	True	True	5.0699351E7	5.0699351E7	8866088.0	11416.0	1426.0	362.0	800.0
Dungeon Defenders	11.99	Action	Indie	RPG	Strategy	81.0	2011-10-18T00:00:00Z	8187.0	104.0	True	True	True	1798953.0	1507299.0	25386.0	2687.0	388.0	720.0	75.0
Empire: Total War	19.99	Strategy				90.0	2009-03-03T00:00:00Z	7006.0	30.0	True	True	True	3096184.0	2761508.0	116662.0	5921.0	495.0	1411.0	186.0
Euro Truck Simulator 2	19.99	Indie	Simulation			79.0	2013-01-16T00:00:00Z	34328.0	36.0	True	True	True	1777636.0	1580939.0	330606.0	2630.0	480.0	831.0	187.0
Fallout: New Vegas	9.99	Action	RPG			84.0	2010-10-21T00:00:00Z	25506.0	75.0	False	False	True	3404116.0	2980685.0	249795.0	3522.0	406.0	1294.0	105.0
Far Cry 3	19.99	Action	Adventure			88.0	2012-11-28T00:00:00Z	26664.0	0.0	False	False	True	2484001.0	2188083.0	75384.0	1675.0	236.0	978.0	50.0
FTL: Faster Than Light	9.99	Indie	Simulation	Strategy		84.0	2012-09-14T00:00:00Z	24639.0	0.0	True	True	True	2209207.0	1923560.0	103290.0	1428.0	226.0	591.0	60.0
Garry's Mod	9.99	Indie	Simulation				2006-11-29T00:00:00Z	147479.0	29.0	True	True	True	8800006.0	8045387.0	1299556.0	5140.0	467.0	1006.0	121.0
Goat Simulator	9.99	Casual	Indie	Simulation		62.0	2014-04-01T00:00:00Z	28406.0	86.0	True	True	True	1726282.0	1629774.0	139723.0	351.0	99.0	139.0	26.0
Grand Theft Auto IV	19.99	Action	Adventure			90.0	2008-12-02T00:00:00Z	23948.0	0.0	False	False	True	3519615.0	2967507.0	97670.0	1397.0	199.0	455.0	30.0
Grand Theft Auto V	59.99	Action	Adventure			96.0	2015-04-13T00:00:00Z	46865.0	60.0	False	False	True	2471598.0	2415593.0	1441217.0	3767.0	856.0	2739.0	391.0
Half-Life	9.99	Action				96.0	1998-11-08T00:00:00Z	7608.0	0.0	True	True	True	5192217.0	1850889.0	32751.0	412.0	113.0	82.0	27.0
Half-Life 2	9.99	Action				96.0	2004-11-16T00:00:00Z	23443.0	33.0	True	True	True	8764930.0	4952305.0	79841.0	699.0	146.0	289.0	43.0
Half-Life 2: Deathmatch	4.99	Action					2004-11-01T00:00:00Z	2779.0	0.0	True	True	True	1.1321602E7	3360707.0	21898.0	643.0	221.0	40.0	36.0
Half-Life 2: Episode One	6.99	Action				87.0	2006-06-01T00:00:00Z	2657.0	13.0	True	True	True	5425927.0	2209594.0	20929.0	296.0	88.0	195.0	32.0
Half-Life 2: Episode Two	7.99	Action				90.0	2007-10-10T00:00:00Z	3662.0	22.0	True	True	True	4841263.0	1959411.0	20348.0	471.0	214.0	303.0	53.0
Half-Life 2: Lost Coast	0.0	Action					2005-10-27T00:00:00Z	2666.0	0.0	True	True	True	1.34E7	2621398.0	13178.0	53.0	32.0	25.0	17.0
Heroes & Generals	0.0	Action	Free to Play	Indie	Massively Multiplayer		2014-07-11T00:00:00Z	25851.0	0.0	False	False	True	6090627.0	3931225.0	355023.0	540.0	283.0	54.0	51.0
Hitman: Absolution	19.99	Action				79.0	2012-11-19T00:00:00Z	11314.0	47.0	False	True	True	2193122.0	1625705.0	47285.0	947.0	181.0	517.0	68.0
Just Cause 2	14.99	Action	Adventure			84.0	2010-03-23T00:00:00Z	20758.0	50.0	False	False	True	3378342.0	2674690.0	87206.0	1015.0	213.0	215.0	38.0
Killing Floor	17.99	Action				72.0	2009-05-14T00:00:00Z	39128.0	285.0	True	True	True	3111687.0	2739028.0	100771.0	2533.0	194.0	584.0	62.0
Left 4 Dead	19.99	Action				89.0	2008-11-17T00:00:00Z	6268.0	73.0	False	True	True	3532986.0	2657443.0	22673.0	2488.0	205.0	590.0	38.0
Left 4 Dead 2	19.99	Action				89.0	2009-11-16T00:00:00Z	93383.0	70.0	True	True	True	1.1994635E7	1.0261958E7	482343.0	2360.0	231.0	577.0	70.0
Loadout	0.0	Action	Free to Play	Indie		72.0	2014-01-31T00:00:00Z	37006.0	29.0	False	False	True	3940333.0	2385943.0	69958.0	456.0	110.0	139.0	30.0
Mafia II	29.99	Action				77.0	2010-08-26T00:00:00Z	10651.0	67.0	False	False	True	1949915.0	1505749.0	39339.0	1758.0	277.0	920.0	83.0
Magicka	9.99	Action	RPG			74.0	2011-01-25T00:00:00Z	14008.0	88.0	False	False	True	3279509.0	2758989.0	93988.0	608.0	142.0	276.0	66.0
Metro 2033	9.99	Action				81.0	2010-03-15T00:00:00Z	12525.0	48.0	False	False	True	4559880.0	2852202.0	33138.0	430.0	100.0	153.0	21.0
Mount & Blade: Warband	19.99	Action	RPG			78.0	2010-03-31T00:00:00Z	26193.0	80.0	True	True	True	1752443.0	1587528.0	219758.0	5858.0	606.0	1937.0	221.0
Napoleon: Total War	13.99	Strategy				81.0	2010-02-23T00:00:00Z	3573.0	71.0	False	True	True	1821433.0	1524352.0	65307.0	3813.0	455.0	767.0	121.0
Neverwinter	0.0	Action	Adventure	Free to Play	Massively Multiplayer	74.0	2013-12-05T00:00:00Z	13920.0	0.0	False	False	True	2835730.0	1721049.0	99221.0	1563.0	569.0	303.0	131.0
No More Room in Hell	0.0	Action	Free to Play	Indie			2013-10-31T00:00:00Z	31665.0	92.0	True	True	True	4018237.0	2434003.0	142629.0	437.0	130.0	107.0	49.0
Nosgoth	0.0	Action	Free to Play	Early Access			2014-03-26T00:00:00Z	11039.0	75.0	False	False	True	2958786.0	1632681.0	101934.0	385.0	157.0	57.0	30.0
Path of Exile	0.0	Action	Adventure	Free to Play	Indie	86.0	2013-10-23T00:00:00Z	22239.0	66.0	False	False	True	3294625.0	2088282.0	139335.0	2589.0	732.0	300.0	152.0
PAYDAY 2	19.99	Action	RPG			79.0	2013-08-13T00:00:00Z	113281.0	324.0	False	False	True	4328494.0	4045367.0	395525.0	2815.0	388.0	1052.0	106.0
PAYDAY The Heist	14.99	Action				76.0	2011-10-20T00:00:00Z	25537.0	56.0	False	False	True	3857778.0	2849295.0	60075.0	460.0	95.0	160.0	28.0
PlanetSide 2	0.0	Action	Free to Play	Massively Multiplayer		84.0	2012-11-20T00:00:00Z	24240.0	0.0	False	False	True	4080831.0	2582059.0	162008.0	1828.0	292.0	269.0	75.0
Portal	9.99	Action				90.0	2007-10-10T00:00:00Z	17216.0	15.0	True	True	True	8263014.0	5883660.0	56005.0	319.0	108.0	175.0	31.0
Portal 2	19.99	Action	Adventure			95.0	2011-04-18T00:00:00Z	48295.0	51.0	True	True	True	6416970.0	5415850.0	179450.0	998.0	204.0	613.0	67.0
Robocraft	0.0	Action	Free to Play	Indie	Massively Multiplayer		2014-07-08T00:00:00Z	36478.0	0.0	True	True	True	6785558.0	4611815.0	478080.0	1018.0	398.0	152.0	83.0
Rust	19.99	Adventure	Indie	RPG	Early Access		2013-12-11T00:00:00Z	88492.0	0.0	True	True	True	2539619.0	2497760.0	392231.0	3766.0	564.0	1221.0	101.0
Saints Row: The Third	14.99	Action				84.0	2011-11-14T00:00:00Z	21442.0	83.0	False	False	True	3289005.0	2638645.0	82555.0	1575.0	228.0	972.0	68.0
Saints Row IV	19.99	Action	Adventure			86.0	2013-08-22T00:00:00Z	29668.0	73.0	False	False	True	2100103.0	1788682.0	96120.0	1199.0	259.0	865.0	74.0
Sid Meier's Civilization V	29.99	Strategy				90.0	2010-09-23T00:00:00Z	57078.0	287.0	True	True	True	7406074.0	7015200.0	732720.0	9268.0	868.0	2314.0	378.0
Sniper Elite V2	27.99	Action				66.0	2012-05-03T00:00:00Z	17689.0	47.0	False	False	True	3346754.0	2360363.0	52323.0	469.0	104.0	166.0	38.0
Starbound	13.99	Action	Adventure	Casual	Indie		2013-12-04T00:00:00Z	42623.0	0.0	True	True	True	1847400.0	1809611.0	120731.0	2752.0	454.0	1356.0	74.0
Super Meat Boy	13.99	Indie				87.0	2010-11-30T00:00:00Z	13100.0	48.0	True	True	True	1975689.0	1664850.0	43797.0	311.0	41.0	106.0	13.0
Team Fortress 2	0.0	Action	Free to Play			92.0	2007-10-10T00:00:00Z	258070.0	513.0	True	True	True	2.7942199E7	2.7942199E7	2106304.0	4456.0	591.0	291.0	197.0
Terraria	9.99	Action	Adventure	Indie	RPG	83.0	2011-05-16T00:00:00Z	75602.0	0.0	False	False	True	5829592.0	5450539.0	409091.0	3633.0	423.0	1122.0	62.0
The Binding of Isaac	4.99	Action	Adventure	Indie	RPG	84.0	2011-09-28T00:00:00Z	33859.0	99.0	False	True	True	2590779.0	2284785.0	110267.0	1849.0	144.0	391.0	23.0
The Elder Scrolls V: Skyrim	14.99	RPG				94.0	2011-11-10T00:00:00Z	126750.0	75.0	False	False	True	8893219.0	8469206.0	983872.0	6469.0	528.0	2839.0	126.0
The Walking Dead	22.99	Adventure				82.0	2012-04-24T00:00:00Z	21787.0	48.0	False	True	True	1706128.0	1482881.0	19379.0	766.0	221.0	677.0	76.0
The Witcher: Enhanced Edition Director's Cut	7.99	Action	RPG			86.0	2008-09-16T00:00:00Z	8798.0	0.0	False	True	True	2059601.0	1535592.0	156582.0	860.0	451.0	179.0	132.0
The Witcher 2: Assassins of Kings Enhanced Edition	19.99	RPG				88.0	2012-04-16T00:00:00Z	17305.0	52.0	True	True	True	3060526.0	2212113.0	258322.0	882.0	335.0	285.0	103.0
Tomb Raider	19.99	Action	Adventure			86.0	2013-03-04T00:00:00Z	35970.0	50.0	False	True	True	3045411.0	2521015.0	91081.0	903.0	204.0	646.0	53.0
Tom Clancy's Ghost Recon Phantoms - EU	0.0	Free to Play					2014-04-10T00:00:00Z	13880.0	57.0	False	False	True	2658606.0	1535592.0	86818.0	1346.0	449.0	284.0	111.0
Torchlight II	18.99	Action	Adventure	Indie	RPG	88.0	2012-09-20T00:00:00Z	19160.0	119.0	True	True	True	2877782.0	2601244.0	72284.0	1479.0	268.0	669.0	88.0
Total War: ROME II - Emperor Edition	54.99	Strategy				76.0	2013-09-02T00:00:00Z	22251.0	150.0	False	True	True	1902824.0	1805929.0	219177.0	6705.0	714.0	2291.0	256.0
Total War: SHOGUN 2	29.99	Strategy					2011-03-14T00:00:00Z	9700.0	106.0	False	True	True	2340209.0	2135566.0	96895.0	4310.0	511.0	1405.0	156.0
Unturned	0.0	Action	Adventure	Casual	Free to Play		2014-07-07T00:00:00Z	128061.0	37.0	False	True	True	1.4661767E7	1.0815229E7	957129.0	645.0	233.0	162.0	56.0
Warface	0.0	Action	Free to Play				2014-07-01T00:00:00Z	12275.0	30.0	False	False	True	2985529.0	1793139.0	124801.0	560.0	271.0	85.0	66.0
Warframe	0.0	Action	Free to Play			68.0	2013-03-25T00:00:00Z	57693.0	132.0	False	False	True	7256081.0	4237801.0	471297.0	3577.0	932.0	294.0	183.0
Warhammer 40000: Dawn of War II	14.99	Strategy				85.0	2009-02-18T00:00:00Z	2597.0	73.0	False	False	True	2258042.0	1800310.0	36820.0	1897.0	268.0	779.0	68.0
War Thunder	0.0	Free to Play	Massively Multiplayer	Simulation		82.0	2013-08-15T00:00:00Z	36143.0	0.0	True	True	True	5619330.0	3265556.0	469747.0	2371.0	470.0	349.0	148.0
XCOM: Enemy Unknown	19.99	Strategy				89.0	2012-10-11T00:00:00Z	21953.0	85.0	True	True	True	2648722.0	2198742.0	134490.0	2722.0	543.0	1356.0	195.0
